Tourist_ID,Age,Gender,Region,Travel_Group_Size,Duration_of_Stay,Season_of_Visit,Type_of_Accommodation,Purpose_of_Visit,Number_of_Previous_Visits,Spending_per_Day,Distance_from_Home_Country,Satisfaction_Rating,Weather_Conditions,Major_Attractions_Visited,Participation_in_Local_Events,Interaction_with_Locals,Recommendation_Likelihood,Social_Media_Shares,Revisit_Intention
bdd640fb-0667-4ad1-9c80-317fa3b1799d,53,Female,South American,6,0.6785714285714285,Fall,Resort,Family,9,0.962334351504608,535,0.8893989496770126,Sunny,3,No,1.0,0.18674215817965953,0.3333333333333333,0
23b8c1e9-3924-46de-beb1-3b9046685257,66,Male,Europe,1,0.2857142857142857,Winter,HomeStay,Education,3,0.9646114386059735,4400,0.5188797636061362,Rainy,4,No,1.0,0.5104781199031175,0.5555555555555556,1
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,43,Female,North American,9,0.35714285714285715,Fall,Resort,Education,8,0.28903379835493803,3244,0.5645883885488128,Snowy,2,Yes,0.5,0.529381003408203,0.0,0
972a8469-1641-4f82-8b9d-2434e465e150,29,Other,Asian-Others,2,0.8214285714285714,Winter,Resort,Education,4,0.479370660947136,3687,0.6694090430123865,Cloudy,1,Yes,1.0,0.8767668651371876,0.1111111111111111,1
17fc695a-07a0-4a6e-8822-e8f36c031199,57,Other,Oceania,5,0.75,Winter,HomeStay,Business,1,0.9729738804977056,176,0.9615791769860152,Rainy,3,No,0.5,0.4627171706416344,0.7777777777777777,0
9a1de644-815e-46d1-bb8f-aa1837f8a88b,22,Male,Europe,9,0.0,Fall,Hostel,Tourism,9,0.0042441941651312765,915,0.6022866790672763,Rainy,2,No,0.5,0.2795146124566322,0.3333333333333333,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,35,Male,South American,4,0.6071428571428571,Summer,HomeStay,Family,7,0.4123716691329524,867,0.5590221376963029,Cloudy,2,Yes,0.0,0.23099862813299069,1.0,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,53,Female,Oceania,3,0.17857142857142855,Fall,HomeStay,Education,6,0.09990778850107708,3785,0.013199918766476526,Snowy,0,Yes,0.0,0.8748137729404238,0.6666666666666666,0
47378190-96da-4dac-b2ff-5d2a386ecbe0,33,Female,South American,7,0.9285714285714285,Fall,Hotel,Education,7,0.5089265322765705,205,0.07972287034643175,Rainy,3,Yes,0.0,0.17099377303646304,0.3333333333333333,0
c241330b-01a9-471f-9e8a-774bcf36d58b,37,Male,Oceania,6,0.03571428571428571,Fall,Hotel,Tourism,2,0.024061164045713193,4016,0.5767471174522253,Snowy,4,Yes,0.0,0.42606130359895766,0.8888888888888888,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,25,Female,Asian-Others,8,0.5,Summer,HomeStay,Education,3,0.40658735037027716,2973,0.9363964433653503,Cloudy,2,No,1.0,0.1871693399182677,0.8888888888888888,0
371ecd7b-27cd-4130-8722-9389571aa876,25,Male,Europe,3,0.9999999999999999,Spring,HomeStay,Family,4,0.22024296712267427,3446,0.866734952740269,Sunny,2,No,1.0,0.7737828261164919,0.3333333333333333,1
1a2a73ed-562b-4f79-8374-59eef50bea63,38,Female,Oceania,5,0.8928571428571428,Spring,Hotel,Business,5,0.5330957393933031,3248,0.982809901579233,Rainy,1,No,0.0,0.4746053160507595,0.7777777777777777,0
5be6128e-18c2-4797-a142-ea7d17be3111,67,Male,North American,4,0.7142857142857143,Winter,Resort,Education,0,0.9961414015746376,3248,0.527329756303581,Snowy,0,Yes,0.5,0.3512749123608183,0.5555555555555556,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,50,Male,Asian-SAARC,4,0.4642857142857143,Winter,HomeStay,Family,3,0.8005316199569389,1565,0.7878471980439251,Cloudy,2,No,0.5,0.3612390591543151,0.0,0
759cde66-bacf-43d0-8b1f-9163ce9ff57f,54,Male,North American,4,0.14285714285714285,Summer,Hostel,Education,9,0.8456727385296591,2687,0.8404014268771064,Cloudy,2,No,0.5,0.8527579593871918,0.6666666666666666,1
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,38,Female,North American,8,0.17857142857142855,Monsoon,Hostel,Tourism,4,0.6351317760984967,344,0.6477217190687232,Rainy,4,Yes,0.5,0.5540720013940994,0.0,0
